#address type crate	slot	channel	name	number theta phi 	offset	gain  
0x00010b01 100 1	11	1	name    145             0	1.000000	
0x00010b02 100 1	11	2	name    146             0	1.000000	
0x00010b03 100 1	11	3	name    147             0	1.000000	
0x00010b04 100 1	11	4	name    148             0	1.000000	
0x00010b05 100 1	11	5	name    149             0	1.000000	
0x00010b06 100 1	11	6	name    150             0	1.000000	
0x00010b07 100 1	11	7	name    151             0	1.000000	
0x00010b08 100 1	11	8	name    152             0	1.000000	
0x00010b09 100 1	11	9	name    153             0	1.000000	
0x00010b0a 100 1	11	10	name  154               0	1.000000	
0x00010b0b 100 1	11	11	name  155               0	1.000000	
0x00010b0c 100 1	11	12	name  156               0	1.000000	
0x00010b0d 100 1	11	13	name  157               0	1.000000	
0x00010b0e 100 1	11	14	name  158               0	1.000000	
0x00010b0f 100 1	11	15	name  159               0	1.000000	

0x00010c00 100 1	12	0	name    160             0	1.000000	
0x00010c01 100 1	12	1	name    161             0	1.000000	
0x00010c02 100 1	12	2	name    162             0	1.000000	
0x00010c03 100 1	12	3	name    163             0	1.000000	
0x00010c04 100 1	12	4	name    164             0	1.000000	
0x00010c05 100 1	12	5	name    165             0	1.000000	
0x00010c06 100 1	12	6	name    166             0	1.000000	
0x00010c07 100 1	12	7	name    167             0	1.000000	
0x00010c08 100 1	12	8	name    168             0	1.000000	
0x00010c09 100 1	12	9	name    169             0	1.000000	
0x00010c0a 100 1	12	10	name  170               0	1.000000	
0x00010c0b 100 1	12	11	name  171               0	1.000000	
0x00010c0c 100 1	12	12	name  172               0	1.000000	
0x00010c0d 100 1	12	13	name  173               0	1.000000	
0x00010c0e 100 1	12	14	name  174               0	1.000000	
0x00010c0f 100 1	12	15	name  175               0	1.000000	

0x00010d00 100 1	13	0	name    176             0	1.000000	
0x00010d01 100 1	13	1	name    177             0	1.000000	
0x00010d02 100 1	13	2	name    178             0	1.000000	
0x00010d03 100 1	13	3	name    179             0	1.000000	
0x00010d04 100 1	13	4	name    180             0	1.000000	
0x00010d05 100 1	13	5	name    181             0	1.000000	
0x00010d06 100 1	13	6	name    182             0	1.000000	
0x00010d07 100 1	13	7	name    183             0	1.000000	
0x00010d08 100 1	13	8	name    184             0	1.000000	
0x00010d09 100 1	13	9	name    185             0	1.000000	
0x00010d0a 100 1	13	10	name  186               0	1.000000	
0x00010d0b 100 1	13	11	name  187               0	1.000000	
0x00010d0c 100 1	13	12	name  188               0	1.000000	
0x00010d0d 100 1	13	13	name  189               0	1.000000	
0x00010d0e 100 1	13	14	name  190               0	1.000000	
0x00010d0f 100 1	13	15	name  191               0	1.000000	

0x00010e00 500 1	14	0	name    192              0	1.000000	 
0x00010e01 500 1	14	1	name    193              0	1.000000	
0x00010e02 500 1	14	2	name    194              0	1.000000	
0x00010e03 500 1	14	3	name    195              0	1.000000	
0x00010e04 500 1	14	4	name    196              0	1.000000	
0x00010e05 500 1	14	5	name    197              0	1.000000	
0x00010e06 500 1	14	6	name    198              0	1.000000	
0x00010e07 500 1	14	7	name    199              0	1.000000	
0x00010e08 500 1	14	8	name    200              0	1.000000	
0x00010e09 500 1	14	9	name    201              0	1.000000	
0x00010e0a 500 1	14	10	name  202                0	1.000000	
0x00010e0b 500 1	14	11	name  203                0	1.000000	
0x00010e0c 500 1	14	12	name  204                0	1.000000	
0x00010e0d 500 1	14	13	name  205                0	1.000000	
0x00010e0e 500 1	14	14	name  206                0	1.000000	
0x00010e0f 500 1	14	15	name  207                0	1.000000	
